board_hash,value
('456.02.01-1', 3),0.12004999999999999
('452.06.011', 5),0.15688812068939628
('454.04.011', 2),0.8393643414227251
('353.05.011', 5),0.7258662950475283
('256.02.0-1-1', 5),0.37881543795370387
('456.02.0-11', 2),0.5899687293508891
('358.00.0-1-1', 3),0.3323061791444172
('457.01.01-1', 3),5.5221383712196056e-06
('352.06.01-1', 4),0.11553008003859255
('452.06.0-11', 4),0.05067929408323328
('356.02.01-1', 5),0.5255120982606992
('451.07.0-11', 4),0.029544526038212417
('453.05.0-11', 5),0.23292805442914966
('352.06.0-11', 5),0.0720159330924903
('256.02.01-1', 1),0.706718203838142
('353.05.0-11', 5),0.8916357975808618
('253.05.0-1-1', 5),0.0681741229377354
('35531-1', 2),0.05828887632532814
('353511', 0),0.6804585470211574
('255.03.01-1', 4),0.7521885774409018
('255.03.0-1-1', 6),0.6528690691744529
('352.06.011', 4),0.5739179945963131
('451.07.0-11', 6),0.2195207730781285
('352.06.0-11', 6),0.09149149475447904
('257.01.0-1-1', 0),0.04809512535229547
('35621-1', 2),0.08870670887390761
('456.02.01-1', 1),0.0588245
('254.04.0-1-1', 6),0.5894069378438093
('253.05.0-1-1', 6),0.12841738544055292
('453.05.0-11', 6),0.35109625994455906
('257.01.0-1-1', 2),0.14372513344892537
('455.03.01-1', 1),0.006920643600500001
('454.04.0-11', 6),0.5973048018088359
('353.05.0-11', 6),0.8058597499999999
('452.06.0-11', 6),0.2838124044346996
('453.05.0-11', 7),0.25863125650974866
('253.05.01-1', 7),0.7017384320522764
('454.04.011', 4),0.44184238321312297
('357.01.0-1-1', 4),0.20675957521338978
('451.07.011', 5),0.1884716832224766
('450.08.0-11', 2),0.41383719654428675
('351.07.0-11', 2),0.1755880485480609
('457.01.0-11', 2),0.40649514420812477
('452.06.0-11', 5),0.3046917786180439
('456.02.01-1', 2),0.0023737807549715005
('354.04.011', 0),0.6783856548407082
('256.02.01-1', 4),0.6196709141526285
('253.05.01-1', 6),0.7416467802086166
('355.03.0-1-1', 6),0.5448424101814575
('353.05.01-1', 5),0.07100576890681085
('353511', 5),0.4945949345678907
('356.02.01-1', 7),0.5501384271066078
('351.07.011', 4),0.5670228579750457
