board_hash,value
('3544-1', 1),0.28640146987427695
('352.06.01', 2),0.0006231595691689939
('453.05.0-1', 4),0.00392440202233641
('355.03.0-1', 4),0.009733159924907744
('35351', 1),0.004972258161246461
('256.02.01', 4),0.023027701520186517
('356.02.01', 0),0.00042670314178487167
('454.04.01', 4),1.4221435447368207e-07
('254.04.01', 4),0.021392339293172503
('454.04.01', 2),2.4774641309408043e-35
('35531', 2),0.0013470850163627185
('457.01.01', 1),0.0201768035
('35621', 2),0.0014784800555350426
('35531', 4),0.1186749427610844
('255.03.01', 1),0.0004025394979252502
('456.02.0-1', 1),0.00016955299142443328
('353.05.01', 5),0.0002621068192986
('358.00.01', 1),0.10125019714234054
('256.02.01', 2),0.0041905515481319745
('451.07.01', 5),0.002461345835332665
('357.01.0-1', 0),0.015008911208956723
('253.05.0-1', 5),0.009670812960121355
('356.02.0-1', 3),0.005937819825184661
('254.04.01', 0),0.0004686152885988188
('451.07.0-1', 5),0.0038028759254113195
('455.03.0-1', 0),0.012646305427628034
('454.04.0-1', 2),0.008069259269532189
('455.03.01', 2),1.6658127665601542e-05
('455.03.0-1', 3),0.015700903536606192
('252.06.0-1', 2),0.89705795
('356.02.0-1', 2),0.009139937600547463
('256.02.01', 3),0.004417523307797724
('356.02.01', 3),0.0009665697020289738
('35621', 3),0.0011022787219125778
('357.01.0-1', 1),0.008859542153853628
('35711', 2),0.0006167387027780672
('256.02.0-1', 0),0.024632079212519534
('456.02.01', 0),0.0005001480114688126
('3544-1', 2),0.2708476616521345
('253.05.01', 6),0.016605847122278576
('453.05.0-1', 6),0.272367738982441
('253.05.0-1', 6),0.008937212933273927
('451.07.0-1', 6),0.01651231934599976
('458.00.0-1', 1),0.028824005
('357.01.0-1', 2),0.02227947901807084
('255.03.0-1', 6),0.19900821651909173
('354.04.01', 6),0.011727920493420155
('254.04.01', 2),0.0003211272015448846
('35351', 2),0.013116112290001924
('357.01.01', 2),0.0006810819017645725
('254.04.01', 3),0.0005092599977304383
('354.04.0-1', 4),0.0369085989266647
('457.01.01', 0),0.004074984373559836
('450.08.01', 1),0.027699958342849336
('255.03.01', 3),0.025026180096626913
('454.04.0-1', 3),0.0061255035543900695
('254.04.0-1', 4),0.015227315514781483
('455.03.0-1', 4),0.22386883449284975
('255.03.01', 2),0.002456793667653552
('454.04.0-1', 4),0.07655135172991481
('454.04.01', 5),0.0588245
('255.03.0-1', 5),0.09962999692598928
('35531', 3),0.0018844199404844458
('356.02.01', 4),0.010191437257388872
('35711', 3),0.0009807327665499169
('255.03.01', 4),0.019826474218208646
('452.06.01', 6),0.09500175697932506
('456.02.01', 2),0.006920643600500001
('35351', 3),0.0022482246688385835
('357.01.01', 6),0.3714669551747372
('35711', 1),0.0011210638146103278
('454.04.01', 6),0.35
('35621', 1),0.0006067643703726369
('357.01.01', 3),0.0012844185272200754
('35621', 5),0.2693356713882788
('35711', 5),0.2702563000414772
('453.05.0-1', 5),0.09957329536508479
('352.06.0-1', 5),0.004428255114623395
('253.05.01', 5),0.01495145925323155
('455.03.01', 3),0.00012078871912043739
('3544-1', 3),0.273846280381216
('35531', 1),0.0006866167134857079
('457.01.01', 2),0.17149999999999999
('35711', 4),0.0941542931352593
('256.02.01', 5),0.1945095260510869
('457.01.0-1', 4),0.4086227644969447
('354.04.01', 5),0.004485394361085211
('254.04.01', 5),0.26058139894255217
('356.02.01', 5),0.2644874052184482
