board_hash,value
('-459905761629849876011', 0),0.40604525852426243
('742745889689312657611', 0),0.311540806364231
('-74238405473860020581-1', 0),0.04275865162946541
('-68040972929093334671-1', 0),0.07873030494531506
('822184207086169536411', 1),0.13492716825707535
('-52275809521198178581-1', 2),0.005785404490267075
('23641010497730453191-1', 0),0.6920000000000001
('66036788531032288611', 2),0.4984
('-26941644400298986271-1', 0),0.459488
('59636720946907111411-1', 0),0.44703616
('-61002983465566938581-1', 0),0.4430515712
('40448575242206378811-1', 1),0.441776502784
('-6642715407399774769-11', 0),0.44136848089088
('-702271874524706527911', 0),0.38515891348216225
('84784231791286811871-1', 0),0.32717754319729575
('-36504788421071767731-1', 0),0.33228153124999443
('843067147414591625711', 2),0.38353299907024585
('-45064451713283117411-1', 3),0.0170571951988871
('-4059191710738512560-11', 1),0.18
('-64018850443984140951-1', 0),0.396
('-26058175587437647011-1', 0),0.42672
('43413436414836658411', 2),0.4365504
('42093844778851896661-1', 0),0.439696128
('60077798246480719651-1', 0),0.44070276096
('72189574876210109191-1', 1),0.44102488350720004
('-9057310366372220829-11', 3),0.44112796272230403
('1469339725246875190-11', 0),0.37340346524415285
('-873596899720427698111', 0),0.1663215745681645
('79295762193999480031-1', 0),0.00015885599293919436
('82218420708616953641-1', 2),0.018885503320537754
('-55238511340908925961-1', 0),0.62
('-89588804133132791221-1', 0),0.4984
('888227819436017249711', 2),0.459488
('-619165906438814835311', 0),0.44703616
('15550392963826629531-1', 0),0.382220358336512
('-19846030610174593621-1', 0),0.31227567018803204
('53192133445210017651-1', 3),0.44136848089088
('86836202383370181011', 0),0.26710646834525525
('-73253737470154299771-1', 0),0.020250697227549998
('73651377026624457961-1', 1),0.11606772253875575
('22177310649443975511-1', 0),0.014089736546363228
('28285520175088244051-1', 0),0.7352000000000001
('31269916777151686841-1', 0),0.547552
('-72392304537200182021-1', 0),0.44056448000000004
('67912617017754870371-1', 0),0.44703616
('-1688131518334206911', 2),0.4430515712
('33430281389978797431-1', 0),0.3212508937827124
('-35620868319202608951-1', 4),0.44136848089088
('-30394653000430008281-1', 0),0.39680556897464225
('-450644517132831174111', 2),0.09992856075149745
('30037143685093999061-1', 0),0.6920000000000001
('-69202227339306309271-1', 0),0.4984
('-59419412077529673821-1', 0),0.459488
('81593416472189005131-1', 0),0.44703616
('90547576896627534551-1', 2),0.4430515712
('-60287872641437209511', 1),0.441776502784
('83731021584357774261-1', 0),0.44136848089088
('5470515251742671048-11', 0),0.4412379138850816
('-1178018548305517796-11', 0),0.4059919545441452
('792957621939994800311', 0),0.11706629315719079
('-30071849446623369971-1', 0),0.7981860147200001
('73593949304186757761-1', 0),0.6214875959296001
('7542417088947707431-1', 0),0.44224640000000004
('743656725302292449111', 0),0.44703616
('53476333961781042671-1', 0),0.352014661632
('-45655747184423601461-1', 0),0.441776502784
('1529798658389741903-11', 0),0.3485240909762166
('-1873560430421660761-11', 0),0.16943959141855885
('-8735968997204276981-11', 0),0.04078884479290117
('1664101878526169008-11', 1),0.3
('185389830447904666111', 3),0.396
('90351003129025891941-1', 1),0.42672
('-4776182098254797609-11', 2),0.4365504
('330263796962939167511', 0),0.439696128
('-50235124820340885551-1', 2),0.44070276096
('-2008467737847143421-1', 0),0.44102488350720004
('-893440092003232739911', 0),0.3355457493028172
('756011435867369673-11', 1),0.3
('2991979210474277357-11', 0),0.396
('-54106920552682958011-1', 1),0.42672
('68183223967985887611-1', 2),0.4365504
('1376040448382343149-11', 1),0.439696128
('223829948980542684511', 3),0.38966862541868236
('4270007622779794551-1', 1),0.17783712180708666
('-5227580952119817858-11', 2),0.11480405070715051
('213730749090096639511', 0),0.008398079999999999
('14435705416536586301-1', 0),0.0018444364561181004
('-31743176641230746481-1', 1),0.42672
('70769991284230073231-1', 2),0.4365504
('2475764728164002995-11', 2),0.439696128
('244851465684815106211', 1),0.44070276096
('91343094935286755291-1', 0),0.29749771287383375
('-699086343772861613211', 1),0.44112796272230403
('-27079232622620250731-1', 2),0.25856320224608065
('23337077653289508551-1', 1),0.16244663170947526
('17260046050831197331-1', 3),0.14912666280212805
('-29987320515063054151-1', 1),0.23187161250609478
('-14518914259372562751-1', 2),0.37296400187105694
('-5227580952119817858-11', 0),0.04644504989050547
('-744704642715620666111', 0),0.3
('-26361025920079756571-1', 0),0.23991130344955944
('86880815012508490251-1', 0),0.2610617260439107
('-56527424176984834701-1', 1),0.4365504
('26061087291912625041-1', 4),0.439696128
('-4548789870454556371-11', 0),0.3319893825286467
('10165491441892425681-1', 0),0.6920000000000001
('51542389902268080321-1', 1),0.4984
('-16980659081356398601-1', 1),0.459488
('3225720088305080981-11', 2),0.44703616
('2388469620591683331-1', 0),0.4430515712
('-82453523621594072431-1', 0),0.441776502784
('-6533777993868850830-11', 6),0.44136848089088
('-4651572193444381127-11', 0),0.4412379138850816
('564086781947172440711', 0),0.2754263712885237
('-7327288845510588191-1', 0),0.08177236847484065
('52799727876743550221-1', 0),0.06859042964834648
('-45064451713283117411-1', 1),0.0055865374064727
('-52275809521198178581-1', 4),0.0074486421036696745
('-534178680458570242411', 2),0.3
('68827999207090239201-1', 1),0.396
('-3922469186136177436-11', 0),0.42672
('31568270367057563231-1', 0),0.42141824
('-81767500795366404191-1', 1),0.3986715136
('-43447995231479175311-1', 0),0.44070276096
('871443018372827897211', 0),0.44102488350720004
('34139384073676285161-1', 0),0.3877423522795226
('303685864707612866-11', 1),0.4411609480711373
('7929576219399948003-11', 1),0.2990969708100624
('-279118176923550362111', 0),0.3702600028160001
('33825066254523543721-1', 0),0.3211172244135609
('69579246785469570251-1', 0),0.3031213471113466
('-577957927471562095311', 5),0.38826718055956483
('-4374122671028950411-1', 0),0.1868228719773723
('-89344009200323273991-1', 2),0.31622250646078276
('-80903296568950604081-1', 0),0.76112
('786266488938678711411', 0),0.29904
('1780988503893620721-1', 0),0.3713856
('53626724807982559731-1', 0),0.44703616
