board_hash,value
('4270007622779794551-1', 1),0.17154947910401872
('6035891655635401328-11', 1),0.3
('-306909981607095433511', 2),0.3786248835072
('87074985055745095491-1', 0),0.20683677493576544
('-54049983734239683291-1', 1),0.1654010621399343
('51356608165783150211', 1),0.13166280818029863
('-522758095211981785811', 0),0.08554432831167678
('-45329728144674764051-1', 1),0.62
('20451199723079295601-1', 1),0.4984
('49767210289028136101-1', 2),0.459488
('46360493782041585911', 0),0.44703616
('21781390044935903301-1', 1),0.353648965632
('32742050136886875701-1', 1),0.3371138827124736
('6314054901997086781-1', 1),0.397872577069056
('-64132329254654531751-1', 0),0.405870711053353
('-53064848524197829-11', 1),0.44119613244322614
('-5609114587086652561-11', 0),0.29915894379669244
('26243896002257283871-1', 1),0.13434542533688226
('-450644517132831174111', 0),0.10416663244849678
('-52275809521198178581-1', 2),0.08232971017508217
('-5221997856388625939-11', 1),0.3
('-5891824266483866832-11', 1),0.396
('31282616463192967291-1', 4),0.42672
('16157741293128403041-1', 1),0.4365504
('-6455716818866562402-11', 1),0.439696128
('-7089657677105853490-11', 2),0.44070276096
('-37946452889645678691-1', 0),0.3036934807238617
('-87655130967661128161-1', 1),0.28406368608150034
('49269954878938854211', 1),0.318128559186546
('65933939688291892681-1', 1),0.15073544427499797
('856463236429687677711', 0),0.18
('3411921614537552961-1', 0),0.30668246016
('-155406787536686927111', 1),0.42672
('4512938156436843161-1', 1),0.4365504
('-77508107882278336321-1', 4),0.439696128
('-183483218250020801511', 1),0.24877552694491728
('-55900194582975551161-1', 1),0.1960830463787642
('-19947373210056647561-1', 2),0.35894366001369526
('58458519296762140761-1', 0),0.13927928698102957
('1115222621394372815-11', 1),0.12592511826156289
('6981782332806638415-11', 1),0.3
('2649610809916770941-1', 0),0.22159556974490424
('49574318973653617621-1', 2),0.42672
('-69258468291629006211', 0),0.2681769631652927
('23773937872945157321-1', 0),0.19119153872444997
('-20442029824721527001-1', 0),0.16210254791056639
('2580141265395465471-1', 1),0.13281248333348208
('37464782756670354961-1', 4),0.10709270299525402
('-522758095211981785811', 1),0.08589483228845629
('214458342773843277611', 0),0.0006405663311675468
('-11980765293126118061-1', 0),0.25854934929082735
('25818893923793990331-1', 1),0.2088581531689415
('677107072564335731711', 0),0.1649562252176585
('73848151566726335371-1', 2),0.15632534094217745
('5135660816578315021-1', 0),0.13407191984539452
('37464782756670354961-1', 0),0.10736007997533546
('558085311492085116711', 0),0.044063999999999985
('51805377917124071981-1', 0),0.1538824685647532
('-19561647699647922411-1', 0),0.24560571113769938
('-49487209408899079801-1', 1),0.21830940705031826
('-323254669362136218411', 0),0.24246704084609402
('-450644517132831174111', 2),0.09380326876154316
('-52275809521198178581-1', 0),0.08256839820991849
('-3984911040729837106-11', 1),0.18
('3073774074655542693-11', 0),0.1620546048
('31329999435691119331-1', 0),0.4811333031367507
('33470697832218574601-1', 0),0.3746672693732561
('54693088427672437591-1', 1),0.3149652404837214
('44938940060132390181-1', 0),0.25332756656368816
('-54049983734239683291-1', 0),0.1647537032008713
('51356608165783150211', 0),0.13203403621330798
('-518764308480323725211', 0),0.18
('-82097445639179758821-1', 1),0.2952
('72259840103345935821-1', 0),0.359120828416
('17503105449680917341-1', 0),0.33614640914432004
('717578274159608690211', 0),0.3713845277261824
('31757501558774721961-1', 1),0.26095596744481264
('-36827910209963201051-1', 0),0.1897971972785303
('-53196636403315180361-1', 2),0.262788109913821
('57314142926129066671-1', 0),0.1541159993117426
('64137769433256418721-1', 0),0.1447719674048931
('8748595488424001102-11', 0),0.16091453152133123
('32441823722854094101-1', 0),0.776672
('71195985272453731651-1', 4),0.42576
('-326787211356103395811', 0),0.46272951296000003
('62357026995082147831-1', 1),0.39710287300198405
('11026766022681523061-1', 0),0.3576940113461248
('-32742633041250252271-1', 0),0.30612689927686415
('44060202492401769671-1', 0),0.2663642772066637
('-23495027553765384141-1', 1),0.237454998619212
('84069201784729363551-1', 0),0.22035687653310818
('-80095954261475563541-1', 2),0.27005705682204273
('71195985272453731651-1', 0),0.5844897280000001
('-326787211356103395811', 4),0.4668608
('62357026995082147831-1', 0),0.41258229358592
('11026766022681523061-1', 4),0.44380654592
('44060202492401769671-1', 1),0.2772757353971533
('-23495027553765384141-1', 0),0.26038309357209843
('11152226213943728151-1', 1),0.22334734552643748
('525334884308350934511', 0),0.03888
('87513633740862205431-1', 1),0.5020420487753245
('-40253559920620322621-1', 0),0.38934443872754015
