board_hash,value
('-69553890914385489831-1', 0),0.2265684199042819
('55041690935405095031-1', 1),0.18632941347571508
('-39412072818777348771-1', 2),0.20363103577551064
('-46640675252988224981-1', 0),0.1297297634192138
('17252202279892944951-1', 0),0.10512991024562525
('3746478275667035496-11', 1),0.14789676546631605
('-5227580952119817858-11', 2),0.09478095843625156
('2633860712239466087-11', 1),0.3
('-3579791054132575495-11', 0),0.396
('-433881291141776741411', 1),0.42672
('628440728546602825411', 0),0.34092780003992795
('69282643070863184711-1', 1),0.1984478803855236
('-18813651923710792291-1', 2),0.4046192091229061
('-73434551409021271631-1', 0),0.18141954978347663
('-86158517695188732291-1', 0),0.1445117830550578
('199077487337276310911', 1),0.1644943417907775
('-32280330493677259081-1', 1),0.62
('16390457695728711951-1', 0),0.49744
('33539177437478626771-1', 1),0.459488
('65693860158157029971-1', 0),0.44703616
('-149644363561012527211', 1),0.4430515712
('-17794481735224258731-1', 2),0.3591903877921794
('-6925846829162900621-1', 0),0.24301692433029837
('23773937872945157321-1', 0),0.19068564696912743
('-20442029824721527001-1', 1),0.15818082239881134
('2580141265395465471-1', 2),0.3157680418545373
('-30494720263773624191-1', 0),0.12876707178661667
('-1451891425937256275-11', 0),0.12376867009429304
('-5227580952119817858-11', 0),0.08633340236062087
('-38430566491643355861-1', 0),0.799997630809331
('-84353347968710272281-1', 0),0.639855871495464
('72449882452378758451-1', 2),0.37982634735486176
('-11980765293126118061-1', 1),0.25686251427282986
('25818893923793990331-1', 0),0.19849034278801966
('5135660816578315021-1', 1),0.13233605770165768
('37464782756670354961-1', 2),0.10420967821993724
('-18017532466168714691-1', 0),0.7860032
('-65403343380149000311-1', 0),0.45369028823830804
('-483314027606932675611', 2),0.47968284190694316
('59374003698080060891-1', 0),0.51199999930942
('-78661897174240705151-1', 0),0.3881750927192684
('-66317485674104670271-1', 1),0.327679952903552
('43707782807463336931-1', 0),0.23391887814001724
('67710707256433573171-1', 1),0.2097146041681869
('2436540514568748586-11', 1),0.3
('-53217736126975712931-1', 1),0.37937650278400004
('39943746206249978861-1', 4),0.42672
('20961040517989934841-1', 0),0.4365504
('6467884629731074651-11', 0),0.27936173653268037
('513566081657831502-11', 2),0.23654474290512442
('74788500006188301171-1', 0),0.6920000000000001
('-35738762946400727961-1', 1),0.5414546944
('-60696673838578449621-1', 1),0.419207936
('555149016294967358311', 1),0.1609330176
('81004716692080491521-1', 4),0.4430515712
('65649912000451419471-1', 0),0.26407391785592593
('74149269260976397711-1', 0),0.20724894926873835
('-3875558029863045209-11', 2),0.402612317756457
('4370778280746333693-11', 0),0.10934923116491967
('67710707256433573171-1', 0),0.1913402410788142
('73848151566726335371-1', 1),0.16329844425343368
('-71550649006645567111', 0),0.3
('74313272411426787121-1', 1),0.396
('71252808206357769231-1', 0),0.42672
('-55143302858852836811-1', 1),0.4365504
('17944879520400373341-1', 1),0.439696128
('-7045903703984013303-11', 1),0.44070276096
('7365137702662445796-11', 4),0.44102488350720004
('22177310649443975511-1', 0),0.23504228873532662
('19046769159787780901-1', 0),0.19491745724834295
('-6692687371550900011-11', 1),0.18
('7291672955185771811-11', 0),0.25776
('870749850557450954911', 0),0.1945975842383747
('-54049983734239683291-1', 0),0.16320989660920335
('51356608165783150211', 1),0.13164284926849545
('-522758095211981785811', 1),0.08588811909107898
('-21245808777845840281-1', 2),0.62
('-25785580604340995881-1', 0),0.54757504
('19313364336800767211-1', 1),0.43518080000000003
('776034398446863342211', 1),0.3727234382972752
('90098598725861113561-1', 0),0.3125764157134933
('12309755067513472521-1', 0),0.28543827939282046
('23467207853036886231-1', 0),0.2452757325638704
('-90500555056717930461-1', 1),0.2816038397749002
('-79797909707861393101-1', 0),0.2663379649792593
