board_hash,value
('-919874875354574142.06.0-1', 1),0.9499948588891763
('-44924306657533932272.06.0-1', 4),0.175527225
('65196813843953241714.04.0-1', 1),0.0684285
('18691924049803297672.06.0-1', 4),0.08358052499999999
('51346995657003601131.07.0-1', 4),0.038906734387499996
('51632316451260050602.06.0-1', 2),0.022855721415187494
('49070697614415888181.07.0-1', 0),0.015527255326691056
('17451646426496156865.03.0-1', 1),0.0
('-53294426273934488451.07.0-1', 1),0.62415
('90171036858207269331.07.0-1', 4),0.21481035603749998
('49070697614415888181.07.0-1', 2),0.5950261960621965
('-48493472584540989382.06.0-1', 1),0.285
('56225737855274960622.06.0-1', 4),0.08122499999999999
('-46032525211842587101.07.0-1', 4),0.27267205206857803
('24053130381942834021.07.0-1', 2),0.04804478960678356
('10192310377382870834.04.0-1', 1),1.3136160739582005e-05
('18861267936015680975.03.0-1', 4),0.008027679205887399
('24053130381942834022.06.0-1', 0),0.017836120936209746
('35061241083240580507.01.0-1', 1),0.0
('33943450090128217012.06.0-1', 4),0.5252820749999999
('67866346191482781903.05.0-1', 4),0.0
('-73482599505699782242.06.0-1', 1),0.9499999999999996
('-41414068303962322972.06.0-1', 4),0.8870696226641451
('7995277968672084854.04.0-1', 1),0.7153811351615323
('-55744794581001158584.04.0-1', 4),0.6372664697718207
('-73482599505699782243.05.0-1', 4),0.3585785567270574
('-75497117304212185444.04.0-1', 1),0.0
('40940243075335778443.05.0-1', 4),0.0
('39514796125053434644.04.0-1', 4),0.0
('82722536429722228743.05.0-1', 2),0.000776189351030625
('-22165782455012710134.04.0-1', 0),0.0017033475308367062
('-7595614336407206243.05.0-1', 0),0.018532052099654667
('30833643820309311132.06.0-1', 1),0.8952343905
('90171036858207269332.06.0-1', 4),0.7641577713026543
('66372659235157215835.03.0-1', 1),0.0
('72474047011132013812.06.0-1', 1),0.62415
('778609626508531383.05.0-1', 4),6.7690262977464e-18
('18861267936015680973.05.0-1', 2),0.0355142074383899
('-18271009459448617944.04.0-1', 1),0.4845
('64636879310219808604.04.0-1', 1),0.0
('-43508598122697165093.05.0-1', 4),0.0
('-73930370481630757333.05.0-1', 4),0.023149124999999996
('80659331406293846891.07.0-1', 1),0.285
('18012562355187485035.03.0-1', 1),0.0
('-21639799927323091272.06.0-1', 4),0.0
('55062805023022945912.06.0-1', 2),6.241982594772793e-06
('18861267936015680974.04.0-1', 0),0.011377544937641763
('-27493602314399945681.07.0-1', 1),0.4845
('-82336975823367748561.07.0-1', 4),0.08122499999999999
('5360294696714837425.03.0-1', 1),0.0
('35061241083240580504.04.0-1', 4),0.3273914624389992
('18012562355187485034.04.0-1', 1),0.0
('35061241083240580506.02.0-1', 1),0.0
('15796548756863545743.05.0-1', 4),7.155125050899882e-05
('68674931026920194512.06.0-1', 1),0.8952343905
('2446545493989355442.06.0-1', 4),0.5945536937204999
('-85601664513027785252.06.0-1', 4),0.30778296965248947
('-43165439367730066034.04.0-1', 2),0.006597500624999998
('44430575519807662723.05.0-1', 0),0.1084750206175017
('-16524080992113268361.07.0-1', 1),0.285
('-27848058307381949621.07.0-1', 4),0.08122499999999999
('-5559478259462778852.06.0-1', 4),0.023149124999999996
('-36194972149494699452.06.0-1', 2),0.17702519282115778
('44129806240045197434.04.0-1', 1),0.0
('-55537908234013585643.05.0-1', 4),0.0
('-44924306657533932274.04.0-1', 4),0.0
('-19416083949336502852.06.0-1', 1),0.4845
('30237133003437502292.06.0-1', 4),0.19494
('-7595614336407206242.06.0-1', 2),0.4786276639226222
('-43433083859887944341.07.0-1', 0),0.11745018556620879
('-73482599505699782244.04.0-1', 4),0.5398291040658765
('-37296331457702316512.06.0-1', 0),0.0
('-43462601647944711903.05.0-1', 1),0.0
