board_hash,value
('2763719064377304654.04.0-1', 0),0.7541709536502594
('-20552178144953704132.06.0-1', 2),0.9499999999999998
('-41445460065892409831.07.0-1', 2),0.9499999999999998
('-42132490760598427971.07.0-1', 0),0.9024755639554981
('17451646426496156865.03.0-1', 2),0.00019549105242914946
('18861267936015680974.04.0-1', 0),8.941409967267307e-07
('55388531437364203732.06.0-1', 2),0.9499999999999998
('35061241083240580503.05.0-1', 0),0.9024995124777947
('17147504237118092863.05.0-1', 0),0.8573192538253714
('44129806240045197434.04.0-1', 2),0.0016616465284800502
('-55537908234013585643.05.0-1', 0),0.009238754698349078
('-44924306657533932274.04.0-1', 0),0.28368060480604984
('-90830662052216800773.05.0-1', 0),0.7861014613532284
('17211520026901358141.07.0-1', 2),0.9499999999999998
('16346691529240042281.07.0-1', 0),0.8895085946255492
('2763719064377304653.05.0-1', 0),0.7856560568402622
('15796548756863545742.06.0-1', 2),0.9499999999215868
('64636879310219808604.04.0-1', 2),1.894093461328325e-06
('-43508598122697165093.05.0-1', 0),3.948546331627141e-05
('-73930370481630757333.05.0-1', 0),0.00019336816348726574
('12276402925015041532.06.0-1', 0),3.219509767946494e-11
('17451646426496156866.02.0-1', 2),6.705343098319826e-05
('-49128263728533979743.05.0-1', 0),0.2910384751539689
('18861267936015680975.03.0-1', 0),0.0205289664242794
('17147504237118092864.04.0-1', 0),0.8572559223360791
('-64330499457292388204.04.0-1', 2),0.47463141846137613
('35061241083240580504.04.0-1', 0),0.47330319849065733
('26855361477361601031.07.0-1', 2),0.9499999999999998
('-1093251340414637351.07.0-1', 0),0.902499999627042
('89938878822404675411.07.0-1', 2),0.8743685
('65928492032050850121.07.0-1', 0),0.6734401287499999
('-13083436328537364641.07.0-1', 0),0.9024999998582436
('-36194972149494699451.07.0-1', 0),0.8156787564018139
('-55537908234013585647.01.0-1', 2),0.35
('50158453538689722664.04.0-1', 0),0.14056205108402403
('-22165782455012710132.06.0-1', 0),0.9007542413776124
('-7595614336407206242.06.0-1', 0),0.8491370711760864
('-43433083859887944341.07.0-1', 0),0.7753651658255232
('55943821443387938364.04.0-1', 2),0.0588245
('83661931323356148503.05.0-1', 0),0.1556580305
('-41414068303962322974.04.0-1', 0),0.2554705597325
